Season,Matchday,Date,Home_Team,Home_Rank,Away_Team,Away_Rank,Score,Attendance
2024,36,24/05/2025 ,Maccabi Netanya,6,Maccabi Haifa,6,2:3,5252
2024,36,24/05/2025 ,Maccabi Tel Aviv,1,Beitar Jerusalem,1,5:0,28108
2024,36,24/05/2025 ,Hapoel Beer Sheva,2,Hapoel Haifa,2,5:0,15775
2024,27,15/03/2025 ,Ironi Kiryat Shmona,3,Maccabi Petah Tikva,3,2:1,245
2024,27,15/03/2025 ,Ironi Tiberias,6,Hapoel Hadera,6,1:1,534
2024,27,15/03/2025 ,Hapoel Jerusalem,1,Ihud Bnei Sakhnin,1,4:1,1438
2024,27,16/03/2025 ,Maccabi Bnei Reineh,2,FC Ashdod,2,1:1,300
2024,28,29/03/2025 ,Maccabi Petah Tikva,5,Hapoel Hadera,5,4:1,1166
2024,28,29/03/2025 ,Ihud Bnei Sakhnin,7,Ironi Tiberias,7,2:1,1334
2024,28,29/03/2025 ,FC Ashdod,6,Hapoel Jerusalem,6,1:1,2280
2024,28,29/03/2025 ,Ironi Kiryat Shmona,1,Maccabi Bnei Reineh,1,0:3,314
2024,29,05/04/2025 ,Maccabi Bnei Reineh,2,Maccabi Petah Tikva,2,0:2,437
2024,29,05/04/2025 ,Hapoel Jerusalem,3,Ironi Kiryat Shmona,3,2:0,1392
2024,29,06/04/2025 ,Ironi Tiberias,4,FC Ashdod,4,1:2,700
2024,29,07/04/2025 ,Hapoel Hadera,8,Ihud Bnei Sakhnin,8,0:1,592
2024,30,19/04/2025 ,Maccabi Petah Tikva,4,Ihud Bnei Sakhnin,4,1:2,1446
2024,30,19/04/2025 ,FC Ashdod,7,Hapoel Hadera,7,4:1,756
2024,30,19/04/2025 ,Ironi Kiryat Shmona,2,Ironi Tiberias,2,0:2,177
2024,30,19/04/2025 ,Maccabi Bnei Reineh,3,Hapoel Jerusalem,3,2:1,353
2024,31,26/04/2025 ,Hapoel Jerusalem,2,Maccabi Petah Tikva,2,0:0,1343
2024,31,26/04/2025 ,Ironi Tiberias,5,Maccabi Bnei Reineh,5,2:1,1050
2024,31,26/04/2025 ,Hapoel Hadera,8,Ironi Kiryat Shmona,8,1:0,195
2024,31,26/04/2025 ,Ihud Bnei Sakhnin,4,FC Ashdod,4,0:0,3714
2024,32,03/05/2025 ,Maccabi Petah Tikva,7,FC Ashdod,7,1:1,3127
2024,32,03/05/2025 ,Ironi Kiryat Shmona,3,Ihud Bnei Sakhnin,3,0:1,810
2024,32,03/05/2025 ,Maccabi Bnei Reineh,2,Hapoel Hadera,2,1:2,278
2024,32,03/05/2025 ,Hapoel Jerusalem,1,Ironi Tiberias,1,3:1,1336
2024,33,10/05/2025 ,Ironi Tiberias,5,Maccabi Petah Tikva,5,0:0,2328
2024,33,10/05/2025 ,Hapoel Hadera,8,Hapoel Jerusalem,8,2:4,410
2024,33,10/05/2025 ,Ihud Bnei Sakhnin,4,Maccabi Bnei Reineh,4,0:1,1835
2024,33,10/05/2025 ,FC Ashdod,6,Ironi Kiryat Shmona,6,4:2,4526
2023,27,30/03/2024 ,Hapoel Beer Sheva,3,Hapoel Haifa,3,2:1,10565
2023,27,30/03/2024 ,Maccabi Tel Aviv,1,Ihud Bnei Sakhnin,1,2:0,20267
2023,27,31/03/2024 ,Maccabi Haifa,2,Maccabi Bnei Reineh,2,1:2,24560
2023,28,06/04/2024 ,Ihud Bnei Sakhnin,6,Hapoel Haifa,6,2:1,933
2023,28,07/04/2024 ,Maccabi Bnei Reineh,5,Hapoel Beer Sheva,5,1:0,1577
2023,28,08/04/2024 ,Maccabi Tel Aviv,1,Maccabi Haifa,1,1:1,26275
2023,29,13/04/2024 ,Maccabi Haifa,2,Ihud Bnei Sakhnin,2,1:0,26231
2023,29,14/04/2024 ,Hapoel Haifa,4,Maccabi Bnei Reineh,4,2:0,0
2023,29,15/04/2024 ,Hapoel Beer Sheva,3,Maccabi Tel Aviv,3,1:0,12103
2023,30,20/04/2024 ,Ihud Bnei Sakhnin,6,Maccabi Bnei Reineh,6,0:2,1167
2023,30,20/04/2024 ,Maccabi Tel Aviv,1,Hapoel Haifa,1,4:0,23221
2023,30,20/04/2024 ,Maccabi Haifa,2,Hapoel Beer Sheva,2,4:1,27457
2023,31,27/04/2024 ,Maccabi Bnei Reineh,5,Maccabi Tel Aviv,5,2:3,4459
2023,31,29/04/2024 ,Hapoel Beer Sheva,3,Ihud Bnei Sakhnin,3,2:1,6155
2023,31,29/04/2024 ,Hapoel Haifa,4,Maccabi Haifa,4,0:2,21284
2023,32,04/05/2024 ,Hapoel Haifa,4,Hapoel Beer Sheva,4,2:0,2650
2023,32,04/05/2024 ,Maccabi Bnei Reineh,5,Maccabi Haifa,5,1:5,4596
2023,32,06/05/2024 ,Ihud Bnei Sakhnin,6,Maccabi Tel Aviv,6,1:1,3510
2023,33,09/05/2024 ,Hapoel Haifa,4,Ihud Bnei Sakhnin,4,1:2,1940
2023,33,09/05/2024 ,Hapoel Beer Sheva,3,Maccabi Bnei Reineh,3,2:1,7308
2023,33,11/05/2024 ,Maccabi Haifa,2,Maccabi Tel Aviv,2,0:1,29842
2023,34,18/05/2024 ,Ihud Bnei Sakhnin,6,Maccabi Haifa,6,1:2,2500
2023,34,18/05/2024 ,Maccabi Tel Aviv,1,Hapoel Beer Sheva,1,3:0,25180
2023,34,18/05/2024 ,Maccabi Bnei Reineh,5,Hapoel Haifa,5,0:1,800
2023,35,21/05/2024 ,Maccabi Bnei Reineh,5,Ihud Bnei Sakhnin,5,2:2,980
2023,35,21/05/2024 ,Hapoel Haifa,4,Maccabi Tel Aviv,4,0:3,6834
2023,35,21/05/2024 ,Hapoel Beer Sheva,3,Maccabi Haifa,3,1:4,9675
2023,36,25/05/2024 ,Ihud Bnei Sakhnin,6,Hapoel Beer Sheva,6,4:1,1500
2023,36,25/05/2024 ,Maccabi Haifa,2,Hapoel Haifa,2,0:2,25140
2023,36,25/05/2024 ,Maccabi Tel Aviv,1,Maccabi Bnei Reineh,1,2:0,21145
2023,27,30/03/2024 ,Hapoel Hadera,6,Hapoel Petah Tikva,6,1:1,1938
2023,27,30/03/2024 ,Maccabi Petah Tikva,2,FC Ashdod,2,0:1,1009
2023,27,31/03/2024 ,Maccabi Netanya,3,Beitar Jerusalem,3,0:3,9301
2023,27,01/04/2024 ,Hapoel Jerusalem,1,Hapoel Tel Aviv,1,2:0,2590
2023,28,13/04/2024 ,Beitar Jerusalem,4,Hapoel Hadera,4,0:1,15000
2023,28,13/04/2024 ,Hapoel Tel Aviv,6,Hapoel Petah Tikva,6,1:1,9928
2023,28,14/04/2024 ,Hapoel Jerusalem,1,Maccabi Petah Tikva,1,2:0,0
2023,28,14/04/2024 ,FC Ashdod,7,Maccabi Netanya,7,0:0,0
2023,29,20/04/2024 ,Maccabi Netanya,4,Hapoel Jerusalem,4,1:0,4399
2023,29,20/04/2024 ,Maccabi Petah Tikva,3,Hapoel Tel Aviv,3,4:2,4290
2023,29,21/04/2024 ,Hapoel Hadera,2,FC Ashdod,2,2:2,700
2023,29,21/04/2024 ,Hapoel Petah Tikva,8,Beitar Jerusalem,8,0:2,8560
2023,30,27/04/2024 ,Hapoel Jerusalem,1,Hapoel Hadera,1,2:1,1200
2023,30,27/04/2024 ,Maccabi Petah Tikva,3,Maccabi Netanya,3,0:2,1791
2023,30,27/04/2024 ,Hapoel Tel Aviv,6,Beitar Jerusalem,6,1:5,17800
2023,30,27/04/2024 ,FC Ashdod,7,Hapoel Petah Tikva,7,1:0,2072
2023,31,04/05/2024 ,Maccabi Netanya,2,Hapoel Tel Aviv,2,0:1,9816
2023,31,04/05/2024 ,Hapoel Petah Tikva,8,Hapoel Jerusalem,8,1:0,1620
2023,31,06/05/2024 ,Hapoel Hadera,4,Maccabi Petah Tikva,4,0:4,1280
2023,31,06/05/2024 ,Beitar Jerusalem,3,FC Ashdod,3,0:0,11591
2023,32,11/05/2024 ,Hapoel Tel Aviv,7,FC Ashdod,7,0:2,25179
2023,32,11/05/2024 ,Hapoel Jerusalem,1,Beitar Jerusalem,1,3:0,11753
2023,32,11/05/2024 ,Maccabi Petah Tikva,2,Hapoel Petah Tikva,2,4:1,2205
2023,32,11/05/2024 ,Maccabi Netanya,4,Hapoel Hadera,4,1:2,3600
2023,33,18/05/2024 ,Hapoel Hadera,3,Hapoel Tel Aviv,3,0:1,1100
2023,33,18/05/2024 ,FC Ashdod,6,Hapoel Jerusalem,6,3:1,1620
2023,33,19/05/2024 ,Hapoel Petah Tikva,8,Maccabi Netanya,8,1:3,948
2023,33,20/05/2024 ,Beitar Jerusalem,4,Maccabi Petah Tikva,4,1:1,10500
2022,27,18/03/2023 ,Hapoel Beer Sheva,2,Hapoel Jerusalem,2,1:0,12536
2022,27,18/03/2023 ,Maccabi Tel Aviv,3,Maccabi Netanya,3,2:0,16602
2022,27,18/03/2023 ,Maccabi Haifa,1,FC Ashdod,1,2:1,28076
2022,28,01/04/2023 ,Hapoel Jerusalem,5,Maccabi Tel Aviv,5,0:2,4242
2022,28,01/04/2023 ,Maccabi Haifa,1,Hapoel Beer Sheva,1,1:0,29875
2022,28,01/04/2023 ,FC Ashdod,6,Maccabi Netanya,6,3:2,2422
2022,29,04/04/2023 ,Maccabi Netanya,5,Hapoel Jerusalem,5,0:2,3484
2022,29,04/04/2023 ,Hapoel Beer Sheva,3,FC Ashdod,3,3:1,10448
2022,29,04/04/2023 ,Maccabi Tel Aviv,2,Maccabi Haifa,2,1:1,26330
2022,30,08/04/2023 ,FC Ashdod,5,Hapoel Jerusalem,5,0:1,2231
2022,30,08/04/2023 ,Maccabi Haifa,1,Maccabi Netanya,1,4:1,29431
2022,30,10/04/2023 ,Hapoel Beer Sheva,2,Maccabi Tel Aviv,2,1:2,15114
2022,31,15/04/2023 ,Hapoel Jerusalem,4,Maccabi Haifa,4,2:1,18755
2022,31,15/04/2023 ,Maccabi Tel Aviv,2,FC Ashdod,2,1:1,15686
2022,31,16/04/2023 ,Maccabi Netanya,6,Hapoel Beer Sheva,6,1:1,6341
2022,32,22/04/2023 ,Hapoel Jerusalem,4,Hapoel Beer Sheva,4,1:2,2988
2022,32,22/04/2023 ,Maccabi Netanya,6,Maccabi Tel Aviv,6,0:0,8730
2022,32,23/04/2023 ,FC Ashdod,5,Maccabi Haifa,5,1:2,6497
2022,33,29/04/2023 ,Maccabi Netanya,6,FC Ashdod,6,2:0,4222
2022,33,29/04/2023 ,Maccabi Tel Aviv,3,Hapoel Jerusalem,3,2:1,11743
2022,33,01/05/2023 ,Hapoel Beer Sheva,2,Maccabi Haifa,2,2:1,10727
2022,34,07/05/2023 ,Hapoel Jerusalem,4,Maccabi Netanya,4,1:4,1331
2022,34,08/05/2023 ,Maccabi Haifa,1,Maccabi Tel Aviv,1,3:1,28752
2022,34,08/05/2023 ,FC Ashdod,6,Hapoel Beer Sheva,6,0:1,3629
2022,35,14/05/2023 ,Hapoel Jerusalem,4,FC Ashdod,4,0:1,592
2022,35,15/05/2023 ,Maccabi Tel Aviv,3,Hapoel Beer Sheva,3,3:0,12471
2022,35,15/05/2023 ,Maccabi Netanya,5,Maccabi Haifa,5,1:5,12960
2022,36,20/05/2023 ,Maccabi Haifa,1,Hapoel Jerusalem,1,5:0,30564
2022,36,20/05/2023 ,Hapoel Beer Sheva,2,Maccabi Netanya,2,2:0,7438
2022,36,20/05/2023 ,FC Ashdod,6,Maccabi Tel Aviv,6,1:2,3569
2022,27,18/03/2023 ,Hapoel Hadera,6,Sekzia Ness Ziona,6,1:2,648
2022,27,18/03/2023 ,Beitar Jerusalem,2,Hapoel Tel Aviv,2,2:1,9000
2022,27,19/03/2023 ,Ihud Bnei Sakhnin,3,Maccabi Bnei Reineh,3,2:2,1000
2022,27,19/03/2023 ,Hapoel Haifa,1,Ironi Kiryat Shmona,1,1:1,700
2022,28,01/04/2023 ,Hapoel Tel Aviv,5,Sekzia Ness Ziona,5,2:1,9360
2022,28,02/04/2023 ,Ironi Kiryat Shmona,7,Ihud Bnei Sakhnin,7,2:2,1219
2022,28,02/04/2023 ,Maccabi Bnei Reineh,6,Hapoel Hadera,6,1:1,914
2022,28,03/04/2023 ,Beitar Jerusalem,3,Hapoel Haifa,3,2:0,5336
2022,29,15/04/2023 ,Hapoel Haifa,3,Hapoel Tel Aviv,3,1:0,3950
2022,29,15/04/2023 ,Sekzia Ness Ziona,8,Maccabi Bnei Reineh,8,1:2,419
2022,29,15/04/2023 ,Hapoel Hadera,5,Ironi Kiryat Shmona,5,1:1,980
2022,29,16/04/2023 ,Ihud Bnei Sakhnin,2,Beitar Jerusalem,2,4:3,5656
2022,30,22/04/2023 ,Hapoel Tel Aviv,5,Maccabi Bnei Reineh,5,1:2,9122
2022,30,22/04/2023 ,Ironi Kiryat Shmona,7,Sekzia Ness Ziona,7,1:1,1380
2022,30,22/04/2023 ,Hapoel Haifa,2,Ihud Bnei Sakhnin,2,2:2,1850
2022,30,23/04/2023 ,Beitar Jerusalem,3,Hapoel Hadera,3,2:1,4697
2022,31,29/04/2023 ,Maccabi Bnei Reineh,4,Ironi Kiryat Shmona,4,1:3,1965
2022,31,29/04/2023 ,Sekzia Ness Ziona,8,Beitar Jerusalem,8,1:3,1696
2022,31,30/04/2023 ,Hapoel Hadera,5,Hapoel Haifa,5,1:2,1113
2022,31,30/04/2023 ,Ihud Bnei Sakhnin,2,Hapoel Tel Aviv,2,0:1,3998
2022,32,06/05/2023 ,Hapoel Tel Aviv,4,Ironi Kiryat Shmona,4,2:2,12885
2022,32,06/05/2023 ,Beitar Jerusalem,1,Maccabi Bnei Reineh,1,0:1,4071
2022,32,06/05/2023 ,Ihud Bnei Sakhnin,3,Hapoel Hadera,3,2:3,2745
2022,32,06/05/2023 ,Hapoel Haifa,2,Sekzia Ness Ziona,2,0:1,2066
2022,33,13/05/2023 ,Sekzia Ness Ziona,8,Ihud Bnei Sakhnin,8,1:1,127
2022,33,13/05/2023 ,Hapoel Hadera,6,Hapoel Tel Aviv,6,1:2,2003
2022,33,13/05/2023 ,Ironi Kiryat Shmona,7,Beitar Jerusalem,7,3:2,1117
2022,33,13/05/2023 ,Maccabi Bnei Reineh,4,Hapoel Haifa,4,0:4,1347
2021,27,19/03/2022 ,Maccabi Tel Aviv,3,Ihud Bnei Sakhnin,3,0:0,20630
2021,27,19/03/2022 ,Hapoel Beer Sheva,2,Maccabi Netanya,2,4:1,11591
2021,27,19/03/2022 ,Maccabi Haifa,1,Hapoel Tel Aviv,1,3:0,27532
2021,28,02/04/2022 ,Hapoel Tel Aviv,6,Ihud Bnei Sakhnin,6,2:1,6700
2021,28,02/04/2022 ,Maccabi Netanya,5,Maccabi Tel Aviv,5,1:1,11100
2021,28,04/04/2022 ,Maccabi Haifa,1,Hapoel Beer Sheva,1,2:0,28457
2021,29,10/04/2022 ,Ihud Bnei Sakhnin,4,Maccabi Netanya,4,1:1,2500
2021,29,10/04/2022 ,Hapoel Beer Sheva,2,Hapoel Tel Aviv,2,2:2,11633
2021,29,11/04/2022 ,Maccabi Tel Aviv,3,Maccabi Haifa,3,1:1,25132
2021,30,16/04/2022 ,Maccabi Haifa,1,Ihud Bnei Sakhnin,1,1:0,27253
2021,30,17/04/2022 ,Hapoel Beer Sheva,2,Maccabi Tel Aviv,2,1:0,12550
2021,30,18/04/2022 ,Hapoel Tel Aviv,6,Maccabi Netanya,6,2:0,11570
2021,31,23/04/2022 ,Maccabi Netanya,6,Maccabi Haifa,6,3:0,12217
2021,31,24/04/2022 ,Ihud Bnei Sakhnin,5,Hapoel Beer Sheva,5,1:1,2000
2021,31,25/04/2022 ,Maccabi Tel Aviv,3,Hapoel Tel Aviv,3,5:0,25453
2021,32,30/04/2022,Ihud Bnei Sakhnin,6,Maccabi Tel Aviv,6,1:0,2500
2021,32,01/05/2022,Maccabi Netanya,4,Hapoel Beer Sheva,4,3:0,8178
2021,32,02/05/2022,Hapoel Tel Aviv,5,Maccabi Haifa,5,0:2,18300
2021,33,07/05/2022,Ihud Bnei Sakhnin,5,Hapoel Tel Aviv,5,0:0,2200
2021,33,07/05/2022,Maccabi Tel Aviv,3,Maccabi Netanya,3,2:1,6450
2021,33,07/05/2022,Hapoel Beer Sheva,2,Maccabi Haifa,2,1:0,12941
2021,34,10/05/2022,Hapoel Tel Aviv,6,Hapoel Beer Sheva,6,2:1,1600
2021,34,10/05/2022,Maccabi Haifa,1,Maccabi Tel Aviv,1,1:3,21141
2021,34,10/05/2022,Maccabi Netanya,5,Ihud Bnei Sakhnin,5,3:0,6000
2021,35,16/05/2022 ,Maccabi Netanya,4,Hapoel Tel Aviv,4,0:0,10772
2021,35,16/05/2022 ,Ihud Bnei Sakhnin,6,Maccabi Haifa,6,0:3,0
2021,35,16/05/2022 ,Maccabi Tel Aviv,3,Hapoel Beer Sheva,3,1:1,14762
2021,27,19/03/2022 ,FC Ashdod,3,Hapoel Nof HaGalil,3,2:0,420
2021,27,20/03/2022 ,Ironi Kiryat Shmona,1,Maccabi Petah Tikva,1,1:1,350
2021,27,20/03/2022 ,Hapoel Haifa,5,Beitar Jerusalem,5,1:1,3100
2021,27,21/03/2022 ,Hapoel Hadera,2,Hapoel Jerusalem,2,3:1,1100
2021,28,02/04/2022 ,Hapoel Jerusalem,6,Hapoel Nof HaGalil,6,0:0,1989
2021,28,02/04/2022 ,Maccabi Petah Tikva,7,Hapoel Haifa,7,0:0,800
2021,28,03/04/2022 ,Hapoel Hadera,1,Ironi Kiryat Shmona,1,1:4,630
2021,28,03/04/2022 ,Beitar Jerusalem,5,FC Ashdod,5,1:0,4600
2021,29,09/04/2022 ,Ironi Kiryat Shmona,2,Hapoel Jerusalem,2,2:1,663
2021,29,09/04/2022 ,FC Ashdod,4,Maccabi Petah Tikva,4,1:0,385
2021,29,09/04/2022 ,Hapoel Haifa,3,Hapoel Hadera,3,1:0,500
2021,29,09/04/2022 ,Hapoel Nof HaGalil,8,Beitar Jerusalem,8,0:2,2000
2021,30,23/04/2022 ,Maccabi Petah Tikva,7,Hapoel Nof HaGalil,7,0:4,800
2021,30,23/04/2022 ,Ironi Kiryat Shmona,1,Hapoel Haifa,1,4:0,250
2021,30,23/04/2022 ,Hapoel Jerusalem,6,Beitar Jerusalem,6,0:1,7049
2021,30,24/04/2022 ,Hapoel Hadera,2,FC Ashdod,2,2:3,506
2021,31,30/04/2022,Hapoel Haifa,4,Hapoel Jerusalem,4,0:2,1000
2021,31,30/04/2022,Hapoel Nof HaGalil,7,Hapoel Hadera,7,0:2,1520
2021,31,30/04/2022,Beitar Jerusalem,5,Maccabi Petah Tikva,5,2:2,5000
2021,31,01/05/2022,FC Ashdod,3,Ironi Kiryat Shmona,3,1:3,444
2021,32,08/05/2022,Hapoel Jerusalem,6,Maccabi Petah Tikva,6,1:0,5136
2021,32,08/05/2022,Ironi Kiryat Shmona,1,Hapoel Nof HaGalil,1,2:0,500
2021,32,08/05/2022 ,Hapoel Hadera,2,Beitar Jerusalem,2,1:2,2909
2021,32,09/05/2022,Hapoel Haifa,4,FC Ashdod,4,1:2,300
2021,33,14/05/2022 ,Beitar Jerusalem,4,Ironi Kiryat Shmona,4,3:3,3000
2021,33,14/05/2022 ,FC Ashdod,3,Hapoel Jerusalem,3,0:1,570
2021,33,14/05/2022 ,Hapoel Nof HaGalil,8,Hapoel Haifa,8,1:0,0
2021,33,14/05/2022 ,Maccabi Petah Tikva,7,Hapoel Hadera,7,4:3,300
2020,27,03/04/2021 ,FC Ashdod,3,Ironi Kiryat Shmona,3,1:1,200
2020,27,03/04/2021 ,Maccabi Haifa,1,Maccabi Petah Tikva,1,1:1,5000
2020,27,03/04/2021 ,Maccabi Tel Aviv,2,Hapoel Beer Sheva,2,2:1,5000
2020,28,06/04/2021 ,Maccabi Petah Tikva,5,Ironi Kiryat Shmona,5,2:0,300
2020,28,06/04/2021 ,Hapoel Beer Sheva,6,FC Ashdod,6,1:2,3244
2020,28,06/04/2021 ,Maccabi Haifa,2,Maccabi Tel Aviv,2,1:1,5000
2020,29,10/04/2021 ,Ironi Kiryat Shmona,5,Hapoel Beer Sheva,5,1:1,150
2020,29,11/04/2021 ,Maccabi Tel Aviv,1,Maccabi Petah Tikva,1,3:1,7916
2020,29,12/04/2021 ,FC Ashdod,3,Maccabi Haifa,3,0:3,2434
2020,30,17/04/2021 ,Maccabi Petah Tikva,4,Hapoel Beer Sheva,4,0:0,800
2020,30,17/04/2021 ,Maccabi Haifa,2,Ironi Kiryat Shmona,2,4:0,10000
2020,30,18/04/2021 ,Maccabi Tel Aviv,1,FC Ashdod,1,1:1,8822
2020,31,25/04/2021 ,FC Ashdod,3,Maccabi Petah Tikva,3,0:0,478
2020,31,25/04/2021 ,Ironi Kiryat Shmona,5,Maccabi Tel Aviv,5,2:0,1956
2020,31,26/04/2021 ,Hapoel Beer Sheva,6,Maccabi Haifa,6,1:1,5157
2020,32,01/05/2021 ,Ironi Kiryat Shmona,5,FC Ashdod,5,1:1,350
2020,32,01/05/2021 ,Maccabi Petah Tikva,4,Maccabi Haifa,4,1:2,4950
2020,32,03/05/2021 ,Hapoel Beer Sheva,6,Maccabi Tel Aviv,6,1:1,4939
2020,33,08/05/2021 ,Ironi Kiryat Shmona,4,Maccabi Petah Tikva,4,1:2,250
2020,33,09/05/2021 ,Maccabi Tel Aviv,2,Maccabi Haifa,2,2:2,22913
2020,33,20/05/2021 ,FC Ashdod,3,Hapoel Beer Sheva,3,2:2,0
2020,34,23/05/2021 ,Maccabi Petah Tikva,4,Maccabi Tel Aviv,4,0:3,3800
2020,34,23/05/2021 ,Maccabi Haifa,1,FC Ashdod,1,2:0,26875
2020,34,23/05/2021 ,Hapoel Beer Sheva,6,Ironi Kiryat Shmona,6,3:2,2278
2020,35,26/05/2021 ,Hapoel Beer Sheva,6,Maccabi Petah Tikva,6,2:0,3687
2020,35,26/05/2021 ,Ironi Kiryat Shmona,5,Maccabi Haifa,5,1:1,5000
2020,35,26/05/2021 ,FC Ashdod,3,Maccabi Tel Aviv,3,1:2,1620
2020,36,30/05/2021 ,Maccabi Petah Tikva,5,FC Ashdod,5,1:3,1000
2020,36,30/05/2021 ,Maccabi Tel Aviv,2,Ironi Kiryat Shmona,2,2:2,20412
2020,36,30/05/2021 ,Maccabi Haifa,1,Hapoel Beer Sheva,1,3:2,30000
2020,27,03/04/2021 ,Hapoel Hadera,2,Hapoel Tel Aviv,2,0:1,2340
2020,27,04/04/2021 ,Maccabi Netanya,1,Ihud Bnei Sakhnin,1,0:0,870
2020,27,04/04/2021 ,Hapoel Haifa,3,Bnei Yehuda Tel Aviv,3,1:3,350
2020,27,05/04/2021 ,Beitar Jerusalem,4,Hapoel Kfar Saba,4,3:1,1500
2020,28,10/04/2021 ,Hapoel Tel Aviv,5,Hapoel Haifa,5,0:2,5000
2020,28,10/04/2021 ,Ihud Bnei Sakhnin,6,Bnei Yehuda Tel Aviv,6,1:1,1500
2020,28,10/04/2021 ,Maccabi Netanya,1,Beitar Jerusalem,1,1:0,1330
2020,28,11/04/2021 ,Hapoel Kfar Saba,8,Hapoel Hadera,8,1:2,400
2020,29,17/04/2021 ,Ihud Bnei Sakhnin,5,Hapoel Kfar Saba,5,3:0,800
2020,29,17/04/2021 ,Maccabi Netanya,1,Hapoel Tel Aviv,1,0:1,2500
2020,29,18/04/2021 ,Hapoel Hadera,3,Hapoel Haifa,3,3:0,500
2020,29,19/04/2021 ,Beitar Jerusalem,2,Bnei Yehuda Tel Aviv,2,2:2,2500
2020,30,24/04/2021 ,Hapoel Haifa,5,Ihud Bnei Sakhnin,5,1:0,1000
2020,30,24/04/2021 ,Hapoel Kfar Saba,8,Maccabi Netanya,8,0:1,300
2020,30,24/04/2021 ,Hapoel Tel Aviv,6,Beitar Jerusalem,6,0:0,8223
2020,30,25/04/2021 ,Bnei Yehuda Tel Aviv,7,Hapoel Hadera,7,2:3,650
2020,31,01/05/2021 ,Bnei Yehuda Tel Aviv,7,Maccabi Netanya,7,1:2,400
2020,31,01/05/2021 ,Hapoel Hadera,2,Ihud Bnei Sakhnin,2,1:0,500
2020,31,03/05/2021 ,Hapoel Tel Aviv,5,Hapoel Kfar Saba,5,2:2,2800
2020,31,03/05/2021 ,Hapoel Haifa,4,Beitar Jerusalem,4,3:1,1000
2020,32,08/05/2021 ,Bnei Yehuda Tel Aviv,7,Hapoel Tel Aviv,7,1:0,750
2020,32,08/05/2021 ,Hapoel Haifa,3,Hapoel Kfar Saba,3,3:2,300
2020,32,08/05/2021 ,Beitar Jerusalem,4,Ihud Bnei Sakhnin,4,3:1,1400
2020,32,09/05/2021 ,Hapoel Hadera,2,Maccabi Netanya,2,2:2,600
2019,27,30/05/2020 ,Maccabi Tel Aviv,1,Hapoel Haifa,1,2:0,0
2019,27,30/05/2020 ,Beitar Jerusalem,3,Hapoel Beer Sheva,3,1:1,0
2019,27,30/05/2020 ,Maccabi Haifa,2,Hapoel Tel Aviv,2,1:2,0
2019,28,02/06/2020 ,Hapoel Tel Aviv,5,Beitar Jerusalem,5,3:0,0
2019,28,03/06/2020 ,Hapoel Haifa,6,Hapoel Beer Sheva,6,1:1,0
